Name,Website,Symbol,Ticker,Exchange,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Name,Industry,Sector,Year Founded,IPO Date,Headquarter Location,latitude,longitude,SEC ID,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"City, State,","City, County, State, Country",source,precision,CEO,CEO LinkedIn,CEO Pay,Salary Year,Arabesque Profile,Shortsqueeze Profile,,,Country,Sector,Size,Region,Industry,GC Score,ESG Score,Temperature Score,,State,Industry,Competency - Flexibility,Competency - Honesty,Competency - Changes according to the situation,Competency - Encourages initiative,Competency - Value driven decision-making,Competency - Delegating,Competency - Integrity,Competency - Leadership by example,Competency - Clear vision,Competency - Humility,Individual - Integrity/ethics,Individual - Analytic intelligence,Individual - Sense of urgency,Individual - Willingness to ask for help,Individual - Decision making,Individual - Ability to simplify,Individual - Creative Questioning approach,Individual - Leadership,Individual - Openness,Individual - Communications skills,Individual - People empathy,Individual - Potential problem identification,Individual - Vision/perspective,Individual - Ego drive,Individual - Non-political,Individual - Endurance,Individual - Willingness to take unqualified responsibility,Individual - Willingness to take the lead,Results Orientation - RESULTS ORIENTATION,Results Orientation - Market and customer knowledge,Results Orientation - Some familiarity with technology,Results Orientation - Articulates and champions a vision,"Results Orientation - Identifies, grows, and deploys core competencies",Results Orientation - Establishes strategy,Results Orientation - Focuses on profitability,Results Orientation - Builds a team,Results Orientation - Defines clear cut objectives,Results Orientation - Delivers objectives,Results Orientation - Removes obstacles for the team,Results Orientation - Establishes and enforces a culture,Results Orientation - Asks the right questions,Results Orientation - Focuses on both short and long term,Results Orientation - Early problem identification,Results Orientation - Ability to solve a problem,Results Orientation - Encourages continuous learning at all levels,Results Orientation - Reinforces mobility of the team and its core competencies
Mettler Toledo,-,MTD,MTD,NYSE,Health Care,601,35.56,0,14.24,697.26,459.34,"16,400,000,000","666,706,000",8,32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1945,9/6/2016,"Columbus, Ohio",39.96,-83,1037646,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Columbus, Ohio","Columbus, Franklin County, OH, US",MapQuest,city/town,Olivier Filliol,0,"8,755,320.00",#REF!,https://sray.arabesque.com/dashboard/001VB2-E/Mettler-Toledo_International_Inc.,https://shortsqueeze.com/?symbol=MTD&submit=Short+Quote%E2%84%A105,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson Controls International,-,JCI,JCI,NYSE,Industrials,36.55,14,2.77,1.71,44.37,34.51,"34,800,000,000","4,295,000,000",1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JCI,Johnson Controls International,Industrials,Building Products,1885,8/27/2010,"Cork, Ireland",51.9,-8.47,833444,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Cork, Ireland","Cork, IE",MapQuest,city/town,George Oliver,0,"15,476,637.00",#REF!,https://sray.arabesque.com/dashboard/0GHYSV-E/Johnson_Controls_International_plc,https://shortsqueeze.com/?symbol=JCI&submit=Short+Quote%E2%84%A106,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Inc.,-,GLW,GLW,NYSE,Information Technology,28.45,16.45,2.08,-0.78,35.1,26.31,"25,800,000,000","2,970,000,000",3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW,Corning Inc.,Information Technology,Electronic Components,1851,9/26/1967,"Corning, New York",42.14,-77.05,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Corteva,"Corning, New York","Corning, Steuben County, NY, US",MapQuest,city/town,Wendell Weeks,0,"14,283,654.00",#REF!,https://sray.arabesque.com/dashboard/000F7B-E/Corning_Inc,https://shortsqueeze.com/?symbol=GLW&submit=Short+Quote%E2%84%A107,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beverage,-,MNST,MNST,NASDAQ,Consumer Staples,61.99,42.17,0,1.19,70.22,41.02,"36,400,000,000","1,229,478,000",14,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012 (1935),6/28/2012,"Corona, California",33.88,-117.57,865752,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Corona, California","Corona, Riverside County, CA, US",MapQuest,city/town,Rodney Sacks,0,"13,982,434.00",#REF!,https://sray.arabesque.com/dashboard/00GLC1-E/Monster_Beverage_Corporation,https://shortsqueeze.com/?symbol=MNST&submit=Short+Quote%E2%84%A108,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool Corporation,-,POOL,POOL,NASDAQ,,,,,,,,,,,,,Pool Corporation,Consumer Discretionary,Distributors,1993,10/7/2020,"Covington, Louisiana",30.48,-90.11,945841,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Covington, Louisiana","Covington, St. Tammany Parish, LA, US",MapQuest,city/town,Peter Arvan,0,"3,290,220.00",#REF!,https://sray.arabesque.com/dashboard/0013NM-E/Pool_Corporation,https://shortsqueeze.com/?symbol=POOL&submit=Short+Quote%E2%84%A109,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,-,AAPL,AAPL,NASDAQ,Information Technology,155.15,16.86,1.58,9.2,180.1,131.12,"810,000,000,000","79,386,000,000",3,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1977,11/30/1982,"Cupertino, California",37.32,-122.03,320193,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Cupertino, California","Cupertino, Santa Clara County, CA, US",MapQuest,city/town,Timothy Cook,0,"11,555,466.00",#REF!,https://sray.arabesque.com/dashboard/000C7F-E/Apple_Inc.,https://shortsqueeze.com/?symbol=AAPL&submit=Short+Quote%E2%84%A110,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schlumberger Ltd.,-,SLB,SLB,NYSE,Energy,67.4,44.93,2.87,-1.08,82.71,61.02,"96,500,000,000","3,222,000,000",3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1926,3/31/1965,"Curaçao, Kingdom of the Netherlands",39.39,-99.07,87347,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Curaçao, Kingdom of the Netherlands",US,MapQuest,country,Olivier Peuch,0,"19,117,170.00",#REF!,https://sray.arabesque.com/dashboard/0015N4-E/Schlumberger_NV,https://shortsqueeze.com/?symbol=SLB&submit=Short+Quote%E2%84%A111,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmos Energy,-,ATO,ATO,NYSE,,,,,,,,,,,,,Atmos Energy,Utilities,Gas Utilities,1906,2/15/2019,"Dallas, Texas",32.78,-96.8,731802,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,Michael Haefner,0,"10,395,993.00",#REF!,https://sray.arabesque.com/dashboard/000CDT-E/Atmos_Energy_Corporation,https://shortsqueeze.com/?symbol=ATO&submit=Short+Quote%E2%84%A112,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBRE Group,-,CBG,CBRE,NYSE,Real Estate,41.92,15.82,0,1.69,46.6,30.43,"14,400,000,000","1,652,961,000",1,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG,CBRE Group,Real Estate,Real Estate Services,1906,11/10/2006,"Dallas, Texas",32.78,-96.8,1138118,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,#N/A,#N/A,#N/A,#REF!,"https://sray.arabesque.com/dashboard/0014DV-E/CBRE_Group,_Inc._Class_A",https://shortsqueeze.com/?symbol=CBRE&submit=Short+Quote%E2%84%A113,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comerica Inc.,-,CMA,CMA,NYSE,Financials,89.18,18.89,1.28,4.13,98.18,64.04,"16,300,000,000",0,5,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMA,Comerica Inc.,Financials,Diversified Banks,1849,12/1/1995,"Dallas, Texas",32.78,-96.8,28412,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,Curtis Farmer,0,"5,012,505.00",#REF!,https://sray.arabesque.com/dashboard/000F01-E/Comerica_Incorporated,https://shortsqueeze.com/?symbol=CMA&submit=Short+Quote%E2%84%A114,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copart Inc,-,CPRT,CPRT,NASDAQ,,,,,,,,,,,,,Copart Inc,Industrials,Diversified Support Services,1982,7/2/2018,"Dallas, Texas",32.78,-96.8,900075,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,A. Adair,0,"156,316.00",#REF!,"https://sray.arabesque.com/dashboard/0016XZ-E/Copart,_Inc.",https://shortsqueeze.com/?symbol=CPRT&submit=Short+Quote%E2%84%A115,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HollyFrontier Corp,-,HFC,HFC,NYSE,,,,,,,,,,,,,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,1947,6/18/2018,"Dallas, Texas",32.78,-96.8,48039,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,George Damiris,0,"5,222,831.00",#REF!,https://sray.arabesque.com/dashboard/0BJQSB-E/HollyFrontier_Corporation,https://shortsqueeze.com/?symbol=HFC&submit=Short+Quote%E2%84%A116,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobs Engineering Group,-,JEC,J,NYSE,Industrials,62.82,19.45,0.91,2.43,72.18,49.31,"9,330,000,000","409,832,000",1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,1947,10/26/2007,"Dallas, Texas",32.78,-96.8,52988,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,Steven Demetriou,0,"14,627,253.00",#REF!,https://sray.arabesque.com/dashboard/000N7V-E/Jacobs_Engineering_Group_Inc.,https://shortsqueeze.com/?symbol=J&submit=Short+Quote%E2%84%A117,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Airlines,-,LUV,LUV,NYSE,Industrials,55.63,15.89,0.86,5.82,66.99,49.76,"34,400,000,000","4,533,000,000",2,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV,Southwest Airlines,Industrials,Airlines,1967,7/1/1994,"Dallas, Texas",32.78,-96.8,92380,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,Gary Kelly,0,"8,771,124.00",#REF!,https://sray.arabesque.com/dashboard/000WR8-E/Southwest_Airlines_Co.,https://shortsqueeze.com/?symbol=LUV&submit=Short+Quote%E2%84%A118,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT&T Inc,-,T,T,NYSE,Telecommunication Services,35.57,12.14,5.42,4.76,42.7,32.55,"227,000,000,000","49,653,000,000",1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,1983 (1885),1983-11-30 (1957-03-04),"Dallas, Texas",32.78,-96.8,732717,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,Randall Stephenson,0,"32,032,925.00",#REF!,https://sray.arabesque.com/dashboard/069J8N-E/AT&T_Inc.,https://shortsqueeze.com/?symbol=T&submit=Short+Quote%E2%84%A119,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments,-,TXN,TXN,NASDAQ,Information Technology,97.66,24.05,2.43,3.6,120.75,74.52,"100,000,000,000","7,013,000,000",7,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN,Texas Instruments,Information Technology,Semiconductors,1930,11/16/2166,"Dallas, Texas",32.78,-96.8,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Textron Inc.,"Dallas, Texas","Dallas, Dallas County, TX, US",MapQuest,city/town,Richard Templeton,0,"18,633,807.00",#REF!,https://sray.arabesque.com/dashboard/000XNY-E/Texas_Instruments_Incorporated,https://shortsqueeze.com/?symbol=TXN&submit=Short+Quote%E2%84%A120,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIOMED Inc,-,ABMD,ABMD,NASDAQ,,,,,,,,,,,,,ABIOMED Inc,Health Care,Health Care Equipment,1981,5/31/2018,"Danvers, Massachusetts",42.57,-70.94,815094,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Danvers, Massachusetts","Danvers, Essex County, MA, US",MapQuest,city/town,Michael Minogue,0,"16,612,766.00",#REF!,"https://sray.arabesque.com/dashboard/000BG7-E/ABIOMED,_Inc.",https://shortsqueeze.com/?symbol=ABMD&submit=Short+Quote%E2%84%A121,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Motor,-,F,F,NYSE,Consumer Discretionary,10.43,5.89,6.78,1.9,13.48,10.19,"42,400,000,000","9,281,000,000",0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1903,3/4/1957,"Dearborn, Michigan",42.32,-83.18,37996,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Dearborn, Michigan","Dearborn, Wayne County, MI, US",MapQuest,city/town,James Hackett,0,"17,355,506.00",#REF!,https://sray.arabesque.com/dashboard/000KN2-E/Ford_Motor_Company,https://shortsqueeze.com/?symbol=F&submit=Short+Quote%E2%84%A122,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxter International Inc.,-,BAX,BAX,NYSE,Health Care,62.56,25.12,0.98,1.29,72.58,48.15,"35,700,000,000","1,832,000,000",3,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX,Baxter International Inc.,Health Care,Health Care Equipment,1931,9/30/1972,"Deerfield, Illinois",42.17,-87.85,10456,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Deerfield, Illinois","Deerfield, Lake County, IL, US",MapQuest,city/town,Jose Almeida,0,"13,913,821.00",#REF!,https://sray.arabesque.com/dashboard/000CNJ-E/Baxter_International_Inc.,https://shortsqueeze.com/?symbol=BAX&submit=Short+Quote%E2%84%A123,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar Inc.,-,CAT,CAT,NYSE,Industrials,145.99,21.22,2.02,1.26,173.24,90.34,"91,800,000,000","8,136,000,000",2,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1925,3/4/1957,"Deerfield, Illinois",42.17,-87.85,18230,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Deerfield, Illinois","Deerfield, Lake County, IL, US",MapQuest,city/town,Donald Umpleby III,0,"34,519,129.00",#REF!,https://sray.arabesque.com/dashboard/000DFY-E/Caterpillar_Inc.,https://shortsqueeze.com/?symbol=CAT&submit=Short+Quote%E2%84%A124,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Industries Holdings Inc,-,CF,CF,NYSE,Materials,37.46,-59.46,3.04,-1.2,43.98,25.04,"9,210,000,000","711,000,000",3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,1946,8/27/2008,"Deerfield, Illinois",42.17,-87.85,1324404,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Deerfield, Illinois","Deerfield, Lake County, IL, US",MapQuest,city/town,W. Will,0,"8,758,243.00",#REF!,"https://sray.arabesque.com/dashboard/007879-E/CF_Industries_Holdings,_Inc.",https://shortsqueeze.com/?symbol=CF&submit=Short+Quote%E2%84%A125,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortune Brands Home & Security,-,FBHS,FBHS,NYSE,Industrials,62.44,20.27,1.26,3.04,73.62,55.25,"9,620,000,000","814,500,000",2,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FBHS,Fortune Brands Home & Security,Industrials,Building Products,2011 (1969),6/22/2016,"Deerfield, Illinois",42.17,-87.85,1519751,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Deerfield, Illinois","Deerfield, Lake County, IL, US",MapQuest,city/town,Christopher Klein,0,"10,693,887.00",#REF!,"https://sray.arabesque.com/dashboard/0B9519-E/Fortune_Brands_Home_&_Security,_Inc.",https://shortsqueeze.com/?symbol=FBHS&submit=Short+Quote%E2%84%A126,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walgreens Boots Alliance,-,WBA,WBA,NASDAQ,Consumer Staples,68.22,13.38,2.24,3.78,88,63.82,"70,900,000,000","7,083,000,000",1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,2014,12/31/1979,"Deerfield, Illinois",42.17,-87.85,1618921,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Deerfield, Illinois","Deerfield, Lake County, IL, US",MapQuest,city/town,Stefano Pessina,0,"19,156,202.00",#REF!,https://sray.arabesque.com/dashboard/0DVRCL-E/Walgreens_Boots_Alliance_Inc,https://shortsqueeze.com/?symbol=WBA&submit=Short+Quote%E2%84%A127,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaVita Inc.,-,DVA,DVA,NYSE,Health Care,71.91,20.55,0,4.3,80.71,52.51,"13,700,000,000","2,252,294,000",1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA,DaVita Inc.,Health Care,Health Care Facilities,1979,7/31/2008,"Denver, Colorado",39.74,-104.98,927066,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Denver, Colorado","Denver, Denver County, CO, US",MapQuest,city/town,Javier Rodriguez,0,"16,853,460.00",#REF!,https://sray.arabesque.com/dashboard/0015RG-E/DaVita_Inc.,https://shortsqueeze.com/?symbol=DVA&submit=Short+Quote%E2%84%A128,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newmont Mining Corporation,-,NEM,NEM,NYSE,Materials,36.61,26.34,0.81,-1.18,42.04,31.42,"19,700,000,000","1,509,000,000",4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEM,Newmont Corporation,Materials,Gold,1921,6/30/1969,"Denver, Colorado",39.74,-104.98,1164727,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Denver, Colorado","Denver, Denver County, CO, US",MapQuest,city/town,Thomas Palmer,0,"7,332,204.00",#REF!,https://sray.arabesque.com/dashboard/000R9Z-E/Newmont_Corporation,https://shortsqueeze.com/?symbol=NEM&submit=Short+Quote%E2%84%A129,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molson Coors Brewing Company,-,TAP,TAP,NYSE,Consumer Staples,74.51,17.66,2.15,9.27,102.14,75.79,"12,400,000,000","4,708,400,000",1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"2005 (Molson 1786, Coors 1873)",6/30/1976,"Denver, Colorado",39.74,-104.98,24545,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Denver, Colorado","Denver, Denver County, CO, US",MapQuest,city/town,Gavin Hattersley,0,"5,234,327.00",#REF!,https://sray.arabesque.com/dashboard/006W68-E/Molson_Coors_Beverage_Company_Class_B,https://shortsqueeze.com/?symbol=TAP&submit=Short+Quote%E2%84%A130,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF Corporation,-,VFC,VFC,NYSE,,,,,,,,,,,,,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1899,6/30/1979,"Denver, Colorado",39.74,-104.98,103379,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Denver, Colorado","Denver, Denver County, CO, US",MapQuest,city/town,Steven Rendle,0,"16,600,591.00",#REF!,https://sray.arabesque.com/dashboard/003ZXF-E/V.F._Corporation,https://shortsqueeze.com/?symbol=VFC&submit=Short+Quote%E2%84%A131,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Financial Group,-,PFG,PFG,NYSE,Financials,60.38,11.96,3.19,4.5,75.59,58.94,"18,500,000,000",0,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFG,Principal Financial Group,Financials,Life & Health Insurance,1879,7/22/2002,"Des Moines, Iowa",41.59,-93.62,1126328,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Des Moines, Iowa","Des Moines, Polk County, IA, US",MapQuest,city/town,Daniel Houston,0,"14,748,051.00",#REF!,"https://sray.arabesque.com/dashboard/001K97-E/Principal_Financial_Group,_Inc.",https://shortsqueeze.com/?symbol=PFG&submit=Short+Quote%E2%84%A132,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTE Energy Co.,-,DTE,DTE,NYSE,Utilities,98.49,19.12,3.56,4.82,116.74,96.56,"17,800,000,000","2,790,000,000",2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE,DTE Energy Co.,Utilities,Multi-Utilities,1995,3/4/1957,"Detroit, Michigan",42.33,-83.05,936340,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Detroit, Michigan","Detroit, Wayne County, MI, US",MapQuest,city/town,Gerardo Norcia,0,"8,228,339.00",#REF!,https://sray.arabesque.com/dashboard/000ZW7-E/DTE_Energy_Company,https://shortsqueeze.com/?symbol=DTE&submit=Short+Quote%E2%84%A133,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Motors,-,GM,GM,NYSE,Consumer Discretionary,40.75,6.58,3.59,6,46.76,31.92,"61,500,000,000","23,541,000,000",1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM,General Motors,Consumer Discretionary,Automobile Manufacturers,1908,6/6/2013,"Detroit, Michigan",42.33,-83.05,1467858,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"Detroit, Michigan","Detroit, Wayne County, MI, US",MapQuest,city/town,Mary Barra,0,"21,630,867.00",#REF!,https://sray.arabesque.com/dashboard/0801VG-E/General_Motors_Company,https://shortsqueeze.com/?symbol=GM&submit=Short+Quote%E2%84%A134,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
